Estimate,Std Error,t-stat,P-Value
-49718.4768,56034.2552,0.0683,0.9455
3829.6971,56034.2552,0.0683,0.9455
3829.6971,43.8088,1.1113,0.2666
48.6835,12540.7310,-2.1463,0.0320
-26916.1195,2566.8099,1.6154,0.1064
4146.3464,29834.6423,3.0448,0.0024
90841.4099,29820.9899,3.2796,0.0011
97801.0753,29856.0561,3.3953,0.0007
101369.0745,30138.0084,1.9523,0.0511
58837.9854,30270.1814,3.3933,0.0007
102716.6846,30300.8198,2.1032,0.0356
63727.4334,30460.0796,2.5033,0.0124
76251.2840,30457.8585,3.8097,0.0001
116035.7316,30724.2049,1.9228,0.0547
59077.4454,31135.8900,3.2213,0.0013
100297.2234,31918.4191,2.9395,0.0033
93822.9685,31987.2358,2.5501,0.0109
81569.5807,32422.9612,1.8571,0.0635
60213.9116,33405.0581,2.2135,0.0270
73943.3347,33408.3454,3.1779,0.0015
106169.3930,33134.7957,3.7250,0.0002
123426.0336,40104.0626,1.6475,0.0997
66069.8917,11254.4626,1.1102,0.2671
12494.4863,11807.8577,1.0446,0.2964
12334.6015,5473.4854,1.8391,0.0661
10066.5393,5609.5114,2.6830,0.0074
15050.4822,6963.1720,0.2588,0.7958
1802.4099,24329.0106,0.2479,0.8043
6030.7894,24329.2913,-0.0081,0.9935
-197.0761,24449.1374,0.2920,0.7703
7140.3626,24383.3956,0.5675,0.5704
13838.1636,24362.5100,0.4037,0.6865
9834.2336,24394.2103,0.4598,0.6457
11216.3815,24517.0248,1.2152,0.2244
29794.2168,24729.9321,1.2599,0.2079
31158.3375,24556.9291,1.2644,0.2063
31050.6292,24606.1906,0.4860,0.6271
11957.4879,24604.8489,-0.5162,0.6058
-12700.8144,24626.3879,0.6776,0.4981
16687.9297,24577.1305,-0.1923,0.8475
-4725.8277,24941.9477,0.1386,0.8898
3457.9035,24662.0834,0.4267,0.6696
10524.0469,24843.9535,0.7980,0.4250
19825.9676,24723.7778,-0.1369,0.8911
-3384.4362,24941.3234,1.1372,0.2556
28364.4168,24973.1314,0.2358,0.8136
5888.0290,24982.9404,0.5959,0.5513
14887.4796,25050.6742,0.4728,0.6364
11845.1777,25109.0152,0.1226,0.9025
3077.3363,25129.6311,-0.0386,0.9692
-969.8717,25256.2888,0.6285,0.5298
15873.6696,25070.0221,0.4501,0.6527
11283.4803,25249.2476,0.7923,0.4283
20005.6181,25452.1074,0.5357,0.5923
13633.6435,25365.5179,1.0164,0.3096
25780.9594,25496.3098,0.0983,0.9217
2505.6739,25646.6172,0.9628,0.3358
24691.6032,25474.5631,0.8278,0.4079
21086.5789,26245.3088,0.6053,0.5451
15885.9292,25968.8085,-0.5210,0.6024
-13530.1990,26627.7302,-0.3565,0.7215
-9493.1193,26108.4325,-0.1523,0.8790
-3975.3128,26008.8827,-0.3326,0.7395
-8649.6920,26377.9648,-0.1642,0.8696
-4330.0289,26645.5450,2.5479,0.0109
67889.7634,26342.2204,0.1961,0.8445
5166.2271,26256.8786,0.8854,0.3760
23249.0160,26625.0974,0.3681,0.7129
9799.9480,26265.5639,-0.5343,0.5932
-14033.7654,26481.2152,-0.4445,0.6567
-11771.5325,29598.2450,1.1060,0.2689
32734.9207,26723.1710,1.4668,0.1426
39196.5737,26763.4079,-0.2381,0.8118
-6373.1445,27144.8659,-0.2474,0.8046
-6716.1381,26620.3341,0.1648,0.8691
4386.6015,27389.8363,0.4580,0.6470
12544.8722,26645.7784,1.3844,0.1664
36888.2613,26662.4148,0.0969,0.9228
2584.8714,27148.5246,0.0238,0.9810
645.6551,29777.2109,0.9468,0.3439
28193.3975,27266.9744,-0.0551,0.9561
-1502.7193,27152.4158,-0.5675,0.5705
-15407.7274,27201.4861,-0.0726,0.9421
-1975.5290,27182.4901,0.9061,0.3650
24630.9451,27212.5544,-0.1539,0.8777
-4187.6546,27165.2314,-0.1025,0.9184
-2783.3598,27226.5910,0.3734,0.7089
10165.2849,28208.8042,0.6918,0.4891
19516.0694,28078.7992,0.7567,0.4493
21248.4944,27158.3486,0.6178,0.5368
16778.9088,29763.4997,1.2770,0.2018
38006.6810,29890.7806,-0.9893,0.3226
-29571.9873,28058.8043,-0.2453,0.8063
-6881.9999,29758.7669,0.0511,0.9593
1519.3294,28041.8012,0.6591,0.5099
18482.4481,28096.7757,0.1522,0.8791
4275.0363,28115.6520,0.9099,0.3630
25582.2634,28086.3071,0.0739,0.9411
2074.5721,29858.3065,-0.4099,0.6819
-12238.2277,29859.1945,0.3971,0.6913
11858.4184,28099.5648,0.2821,0.7779
7926.4511,28078.0373,-0.6470,0.5177
-18167.3328,29784.0227,-0.5968,0.5507
-17774.3788,29778.4193,-0.7209,0.4710
-21468.3858,28073.2757,0.0622,0.9504
1746.8955,28148.4375,4.5667,0.0000
128544.7767,29884.0679,0.8952,0.3708
26751.4107,29763.5312,0.6605,0.5090
19658.2879,34708.6238,0.4043,0.6860
14034.3046,29778.8946,1.4159,0.1570
42163.4704,29825.2597,-0.0886,0.9294
-2643.2467,34473.7617,0.1543,0.8774
5318.5303,29859.7527,0.2448,0.8066
7309.6160,29856.6124,1.5568,0.1197
46480.9698,29811.7430,-0.6652,0.5060
-19829.2817,29833.3922,-0.2335,0.8154
-6964.6121,29793.0058,-0.0114,0.9909
-338.3615,29811.2441,0.8193,0.4127
24424.5080,34488.9559,0.2137,0.8308
7371.0840,30014.4625,0.2484,0.8038
7456.0721,29778.8415,-0.4969,0.6193
-14796.8200,29790.8036,0.3848,0.7005
11462.8866,29795.7496,-0.7892,0.4301
-23513.8466,34457.5969,-0.9097,0.3631
-31344.7794,34416.8215,0.2357,0.8137
8111.5110,29898.6209,-0.2860,0.7749
-8551.5971,29913.2324,1.1462,0.2519
34287.4030,inf,0.0000,1.0000
0.0000,inf,0.0000,1.0000
0.0000,inf,0.0000,1.0000
0.0000,34413.8742,-0.2398,0.8105
-8252.1598,34917.3520,0.5062,0.6128
17673.5761,34464.7158,-1.2760,0.2021
-43978.3329,34428.4634,0.3617,0.7177
12451.3112,inf,0.0000,1.0000
0.0000,34462.1219,-0.1786,0.8583
-6155.8838,34809.6855,0.0737,0.9413
2565.5871,inf,0.0000,1.0000
0.0000,34431.7842,-0.6131,0.5399
-21110.0357,inf,0.0000,1.0000
0.0000,35399.1166,-0.0996,0.9206
-3527.1355,34408.2077,0.2564,0.7977
8822.1162,34418.5945,-0.8224,0.4109
-28307.1263,37678.5512,1.8593,0.0632
70054.8004,34487.7225,0.9088,0.3636
31342.7587,34446.5793,0.3890,0.6973
13401.3729,34420.4068,1.3088,0.1908
45049.1690,34405.4462,-1.0186,0.3086
-35043.7397,34460.1043,-0.7335,0.4634
-25276.4738,34461.8673,0.1325,0.8946
4567.3565,36225.1455,-0.3797,0.7042
-13753.8734,34447.7237,-1.1181,0.2637
-38515.9417,34607.8773,-0.8934,0.3718
-30919.6875,34459.9900,-0.1168,0.9070
-4024.9868,34467.0659,0.8882,0.3746
30613.3642,35209.3130,1.3244,0.1856
46629.5940,36251.3530,1.5174,0.1293
55009.0715,34450.7657,0.3963,0.6919
13652.1565,34415.3357,0.2053,0.8373
7066.3102,34456.0849,0.1966,0.8442
6774.3932,34454.5357,1.5488,0.1216
53362.3975,34806.0486,0.0558,0.9555
1942.9867,34511.8364,0.5993,0.5490
20683.7156,inf,0.0000,1.0000
0.0000,34427.4324,-0.4453,0.6562
-15330.0578,34633.1286,0.4102,0.6817
14206.2317,34450.5848,-0.2551,0.7987
-8788.0854,34418.5945,-0.1403,0.8884
-4830.3263,34459.0951,-0.4119,0.6805
-14194.2518,34462.7128,0.4027,0.6872
13879.7683,34408.5016,-0.4745,0.6352
-16326.0745,34430.0960,-0.4194,0.6750
-14440.7761,34448.0081,0.7302,0.4654
25154.3873,34428.4623,1.3767,0.1688
47399.1236,inf,0.0000,1.0000
0.0000,34450.9818,-0.2205,0.8255
-7596.3460,34459.6491,0.0275,0.9781
946.8676,34430.1060,-0.4269,0.6695
-14697.5352,inf,0.0000,1.0000
0.0000,34418.8517,-0.0417,0.9667
-1435.7747,34525.4122,-0.9985,0.3182
-34474.4238,34408.8927,0.3136,0.7539
10790.7829,inf,0.0000,1.0000
0.0000,34884.5767,-0.2384,0.8116
-8317.1318,34462.0139,-0.8756,0.3814
-30175.0902,34454.2205,0.1441,0.8855
4964.1264,40443.3927,-1.2293,0.2191
